scenario_id,label,success,cum_success_rate,mean_confidence,p10_confidence,p50_confidence,p90_confidence
1,unstable,0,0,0,0,0,0
2,unstable,0,0,0,0,0,0
3,unstable,0,0,0,0,0,0
4,unstable,0,0,0,0,0,0
5,unstable,0,0,0,0,0,0
6,unstable,0,0,0,0,0,0
7,unstable,0,0,0,0,0,0
8,unstable,0,0,0,0,0,0
9,unstable,0,0,0,0,0,0
10,unstable,0,0,0,0,0,0
11,unstable,0,0,0,0,0,0
12,unstable,0,0,0,0,0,0
13,unstable,0,0,0,0,0,0
14,unstable,0,0,0,0,0,0
15,unstable,0,0,0,0,0,0
16,unstable,0,0,0,0,0,0
17,unstable,0,0,0,0,0,0
18,unstable,0,0,0,0,0,0
19,unstable,0,0,0,0,0,0
20,unstable,0,0,0,0,0,0
21,unstable,0,0,0,0,0,0
22,unstable,0,0,0,0,0,0
23,unstable,0,0,0,0,0,0
24,unstable,0,0,0,0,0,0
25,unstable,0,0,0,0,0,0
26,unstable,0,0,0,0,0,0
27,unstable,0,0,0,0,0,0
28,unstable,0,0,0,0,0,0
29,unstable,0,0,0,0,0,0
30,unstable,0,0,0,0,0,0
